Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
allclose,,,96.90817947,97.39390354,98.19721643,99.10327864,99.36793598,99.50182147,99.69797926,99.93150045,99.93772768,99.98443192,100,100,,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913,28.13151913
clamp_min,,,86.20333481,91.67773351,93.49269588,95.7650878,96.2815405,96.72421425,98.06699129,98.55393242,99.07038513,99.49830308,99.49830308,100,,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766,37.70104766
logical_or,,,98.33725876,99.45512708,100,100,100,100,100,100,100,100,100,100,,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949,15.2915949
matmul,,,86.4025345,91.11103019,93.70015659,95.0948618,96.21645242,96.72626634,98.01172572,98.45963366,99.0495612,99.32267579,99.64313026,100,,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555,23.4878555
mv,,,99.49890385,99.56154087,100,100,100,100,100,100,100,100,100,100,,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452,32.25806452
std,,,98.62183021,99.3201029,99.47629548,99.65086365,99.80705623,99.80705623,99.80705623,99.80705623,99.9816244,100,100,100,,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361,48.64939361
kthvalue,,,95.27321703,98.78783992,99.29451001,99.83324782,99.83324782,100,100,100,100,100,100,100,,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841,30.49640841
split_with_sizes,,,100,100,100,100,100,100,100,100,100,100,100,100,,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034,51.37931034
dropout,,,95.79268293,97.96008869,98.17073171,99.35144124,99.35144124,99.79490022,99.79490022,99.79490022,100,100,100,100,,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058,1.496674058
pdist,,,83.34328358,87.79104478,90.71641791,94.02985075,95.43283582,96.44776119,97.07462687,97.55223881,98.17910448,98.89552239,99.25373134,100,,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209,52.8358209
