,,0,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,4,,,,,,,,,,,
RealDiv,,8511,9457,10382,10736,10928,11171,12075,12079,12096,12101,12679,12998,,8582,9073,9625,10715,10778,11427,11761,12141,12154,12520,12709,12709,,9094,9670,9842,10281,10300,11014,11503,11846,11891,12218,12247,12297,,8993,10138,10154,10561,10908,10983,11574,11677,12156,12219,12553,12554,,9179,9892,10850,10865,10986,11395,11396,12101,12175,12216,13174,13582
Reciprocal,,6635,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,6638,,6634,6637,6637,6637,6637,6637,6637,6637,6637,6637,6637,6637,,6624,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,6627,,6624,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,6636,,6614,6614,6614,6614,6614,6614,6614,6614,6614,6614,6614,6614
Round,,6547,6547,6547,6547,6547,6547,6547,6547,6547,6550,6550,6550,,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,6555,,6545,6545,6545,6545,6545,6545,6545,6545,6545,6545,6545,6545,,6536,6536,6536,6536,6536,6536,6536,6536,6536,6536,6536,6536,,6548,6548,6548,6548,6548,6548,6548,6548,6548,6548,6548,6548
Rsqrt,,6665,6665,6665,6665,6665,6665,6665,6665,6665,6665,6665,6665,,6668,6668,6668,6668,6668,6668,6668,6668,6668,6668,6668,6668,,6663,6663,6663,6663,6663,6663,6663,6663,6663,6663,6663,6663,,6654,6656,6656,6656,6656,6656,6656,6656,6656,6656,6656,6656,,6617,6665,6665,6665,6665,6665,6665,6665,6665,6665,6665,6665
SegmentMax,,7830,8021,8207,8478,8522,8699,8746,9104,9108,9388,9644,9653,,7984,8325,8605,8932,9520,9737,9840,9896,9903,9956,10002,10006,,7369,7373,7391,7418,8049,8065,8943,9235,9257,9262,9262,9362,,7623,7980,8339,8663,8935,8983,9276,9485,9577,9956,10131,10136,,6440,6450,6450,6450,6450,6747,6747,6747,6749,6749,6749,6749
SegmentMean,,7796,7913,7973,8363,8676,9052,9188,9277,9413,9519,9626,9781,,7356,7455,7457,7697,7876,7962,8193,8365,8507,8507,8507,8507,,8200,8350,8445,8493,8834,8839,8840,8874,8956,8956,9064,9118,,7545,7589,7768,7770,7912,7921,7921,7921,8058,8193,8193,8193,,7746,8269,8283,8559,8681,8768,8970,9022,9113,9346,9556,9556
SelectV2,,24001,26658,27903,28369,28759,29218,29355,29423,29640,29873,29982,30329,,24028,25713,27089,27671,27698,28423,28860,28996,29603,30135,30235,30294,,25317,26794,28769,29381,29683,29830,30058,30295,30555,30876,30901,31013,,24510,25598,27280,28129,28669,29307,29427,29669,29722,29966,29992,30281,,25084,25839,26907,27684,27881,28350,28749,28992,29249,29409,30209,30365
Sigmoid,,6748,6751,6751,6751,6751,6751,6751,6751,6751,6751,6751,6751,,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,6770,,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761,6761
Sign,,7379,7379,7379,7379,7379,7379,7379,7379,7379,7379,7379,7379,,7395,7395,7395,7395,7395,7395,7395,7395,7395,7395,7395,7395,,7385,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,7388,,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,7369,,7323,7379,7379,7379,7379,7379,7379,7379,7379,7379,7379,7379
Sin,,6575,6575,6575,6575,6575,6575,6575,6575,6575,6575,6575,6575,,6564,6564,6564,6564,6564,6564,6574,6574,6574,6574,6574,6574,,6572,6572,6572,6572,6572,6572,6572,6572,6572,6572,6572,6572,,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,,6573,6573,6575,6575,6575,6575,6575,6575,6575,6575,6575,6575
Sinh,,6513,6513,6513,6513,6513,6513,6513,6513,6523,6523,6523,6523,,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,,6515,6515,6515,6515,6515,6515,6515,6515,6515,6515,6515,6515,,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,6529,,6522,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524,6524
SparseMatMul,,10092,10164,10179,10194,10215,10215,10215,10215,10215,10215,10219,10219,,10159,10177,10177,10188,10216,10218,10223,10225,10227,10227,10232,10232,,9356,9356,9482,9543,9640,9640,9640,9655,9736,9833,10022,10125,,7573,8761,9325,9786,10002,10096,10113,10168,10178,10178,10188,10188,,10098,10141,10166,10181,10185,10190,10190,10190,10215,10215,10215,10219
Sum,,8191,8341,8460,8736,8736,8750,8750,8750,8750,8754,8754,8754,,8166,8332,8402,8402,8708,8852,9079,9130,9226,9395,10041,10127,,7597,7684,7760,7811,7863,7945,8259,8494,8653,8698,8938,8956,,7702,7845,7920,8010,8164,8439,8490,8541,8872,9488,10044,10094,,7756,7807,7889,7944,8060,8115,8310,8352,8485,8826,9664,9942
Tanh,,6588,6588,6590,6590,6590,6590,6590,6590,6590,6590,6590,6590,,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,,6580,6580,6580,6580,6580,6580,6580,6580,6580,6580,6580,6580,,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,6578,,6594,6594,6594,6594,6594,6594,6594,6594,6594,6594,6594,6594
TruncateDiv,,11761,13133,14779,17254,17264,18048,18158,19039,19395,19444,19756,19756,,11084,14005,15038,16592,17481,17882,18172,18524,19210,19242,19254,19739,,12345,13480,14221,15878,17857,17964,18321,18944,19042,19373,19381,19384,,11003,15937,17236,17570,18245,18248,18540,18624,19017,19017,19019,19333,,11880,13976,14672,14682,16260,16908,18313,18741,18745,18745,18837,19144
TruncateMod,,9076,9433,9443,10397,11077,11523,11584,11593,11886,11998,12006,12006,,8736,9737,10507,10543,11170,11212,11212,11251,11251,11303,12041,12064,,8742,10845,10904,11260,11274,11274,11274,11600,12046,12058,12384,12384,,9724,9726,10432,10488,10503,11260,11563,11567,11569,11646,11680,11694,,9390,10506,10525,10954,10965,11279,11296,11296,11298,11641,11645,11661
Xdivy,,10030,11392,11890,12160,12258,12921,13462,13485,13526,13606,13621,13768,,9094,10036,11066,11832,12198,12239,12285,13168,13257,13838,13954,14103,,9997,10874,11650,12559,12893,12923,13299,13686,14331,14339,14364,14448,,9366,11096,11774,11993,12612,12964,13002,13258,13317,13681,13719,13906,,9603,11273,12329,12605,12612,12627,12638,12644,13256,13401,13416,13425
Xlog1py,,8711,10327,10888,11584,12119,12902,13714,13767,13804,13982,14047,14144,,9469,10502,11914,11985,11985,12040,12787,13151,13549,14067,14510,14876,,10195,10363,11196,11820,11856,12402,12402,13348,13398,13493,13585,13587,,10609,11602,12564,13505,13610,13704,13789,14465,14784,14839,14952,15326,,9120,11092,11641,12024,12691,12698,13182,13577,13584,13674,13680,13682
Xlogy,,10641,11167,11678,11691,11836,12203,12427,12484,12865,13313,13368,13655,,10970,11344,11507,12160,12915,12979,13141,13222,13222,13265,13281,13975,,9386,9883,10875,11095,11095,11103,11116,11448,11494,11875,12511,12868,,9933,10951,11534,12441,12575,12987,13229,13287,13761,13791,14142,14461,,10080,10973,12048,13115,13447,13656,13699,13699,13853,13862,14140,14342
BiasAdd,,14480,15130,15699,15998,16077,16112,16131,16136,16136,16142,16225,16225,,13061,14832,15553,15919,15927,16027,16027,16104,16108,16116,16141,16143,,15200,15877,16074,16081,16104,16108,16131,16213,16213,16217,16264,16265,,14404,15757,16024,16056,16092,16103,16107,16116,16124,16134,16145,16146,,12777,14881,15775,15971,16083,16091,16106,16112,16112,16113,16114,16118
Softmax,,9888,9905,9969,10059,10104,10104,10104,10104,10104,10104,10104,10104,,9956,9956,9956,10002,10002,10002,10002,10002,10002,10002,10002,10002,,9934,9950,9950,9950,9950,9996,9996,9996,9996,9996,9996,9996,,9942,9942,9942,9942,9943,9988,9988,10004,10050,10050,10050,10050,,9988,9988,9988,10034,10051,10051,10112,10113,10113,10114,10115,10115
Softplus,,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,6554,,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,6563,,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,6562,,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564,6564
Softsign,,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,,6335,6335,6335,6335,6335,6335,6335,6335,6335,6335,6335,6335,,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,6326,,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,,6319,6329,6329,6329,6329,6329,6329,6329,6329,6329,6329,6329
