Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
Xlogy,13860.2,,10202,10863.6,11528.4,12100.4,12373.6,12585.6,12722.4,12828,13039,13221.2,13488.4,13860.2,,,1689.2,2521.8,2828.4,2949.6,3152,3298.8,3420.8,3559.2,3588.2,3589.4,3628.4,3663.2,,,1249.4,1249.4,1249.4,1249.4,1249.4,1249.4,1249.4,1249.4,1249.4,1249.4,1249.4,1249.4
BiasAdd,16179.4,,13984.4,15295.4,15825,16005,16056.6,16088.2,16100.4,16136.2,16138.6,16144.4,16177.8,16179.4,,,1290.2,1408.6,1647.2,1786.2,1894.8,1972.8,2144.6,2254.2,2280.4,2403.8,2711,2788.6,,,1339.4,1339.4,1339.4,1339.4,1339.4,1339.4,1339.4,1339.4,1339.4,1339.4,1339.4,1339.4
Softmax,10053.4,,9941.6,9948.2,9961,9997.4,10010,10028.2,10040.4,10043.8,10053,10053.2,10053.4,10053.4,,,2003,3077.4,4178,4241.4,4269.6,4472.6,4495,4863.2,4874.2,4885.8,4910.4,4921.2,,,1634.6,1634.6,1634.6,1634.6,1634.6,1634.6,1634.6,1634.6,1634.6,1634.6,1634.6,1634.6
Softplus,6561.4,,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,6561.4,,,1386.2,1463.8,1489.2,1489.2,1514,1514.2,1540,1540,1540,1540,1564.8,1565.2,,,999,999,999,999,999,999,999,999,999,999,999,999
Softsign,6328.6,,6326.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,6328.6,,,1145.2,1175,1204.4,1229.6,1256.6,1282.8,1333.8,1383.4,1383.4,1408.6,1433.8,1433.8,,,942,942,942,942,942,942,942,942,942,942,942,942
SerializeTensor,7400.4,,7392.2,7398,7400,7400.2,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,7400.4,,,727.8,753.6,829,853.8,879.6,904.6,956,981.4,981.4,1007,1007,1007,,,640.8,640.8,640.8,640.8,640.8,640.8,640.8,640.8,640.8,640.8,640.8,640.8
Multinomial,7181.4,,6257.4,6370.8,6489.2,6533.4,6558.6,6654.8,6694.8,6745.4,6768.4,6945,7063,7181.4,,,1545.8,1591.6,1645,1646,1664.2,1666.2,1749.6,1776.8,1777.6,1822.2,1822.6,1824.4,,,945.4,945.4,945.4,945.4,945.4,945.4,945.4,945.4,945.4,945.4,945.4,945.4
RandomUniformInt,5700,,4627.4,4627.4,4682.6,4682.6,4684.6,4684.6,4763.4,4763.4,4766.8,4769,5700,5700,,,1449.2,1656.6,1886.6,1971.2,2096.6,2241.6,2244,2303.8,2343,2393,2504.6,2547.6,,,686.4,686.4,686.4,686.4,686.4,686.4,686.4,686.4,686.4,686.4,686.4,686.4
RegexReplace,5778.2,,5778,5778,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,5778.2,,,1102.6,1129.2,1133.8,1146.2,1146.2,1155,1155,1155,1159.4,1159.4,1159.8,1159.8,,,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6
StringLength,5343.2,,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,5343.2,,,649.6,649.6,715.6,743.2,748.8,748.8,759.6,759.6,763.6,767.6,767.6,772,,,473.8,473.8,473.8,473.8,473.8,473.8,473.8,473.8,473.8,473.8,473.8,473.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
API,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
