Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
GreaterEqual,19718,,11574.8,13954.8,14966,16162.2,16631.6,17170,17846.4,18223.4,18670.6,18964,19210.6,19718,,14481,15444,15660.4,16191.8,16524.6,16712.2,16902.6,16995.2,17209,17479,17592.8,17784.4
Inv,6634.2,,6632.4,6634,6634,6634,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,,6613,6618.2,6623,6623,6623,6623,6623,6623,6623,6623,6623,6623
Less,20654,,12104.8,13910.6,15323.6,16117,16978.2,17467.2,18314.2,18853.4,19237.6,19493.2,20117.8,20654,,14327,14976.6,15305.8,16076,16527.8,16745.2,17067.8,17343.8,17547,17631.8,17808.8,18015.8
LessEqual,20695.8,,12036.6,13835,14916.4,15922.4,17171.4,17814.4,18600.8,18911.2,19620.8,19990.2,20412.8,20695.8,,13369.6,14218.2,15192,15765.8,16334.4,16554.6,16822.2,17095.8,17469,17739,17942.8,18187
Lgamma,5883.6,,5875.2,5875.4,5875.4,5875.4,5875.4,5875.4,5877.4,5877.4,5877.4,5877.4,5877.4,5877.4,,5881.2,5881.2,5881.2,5883.2,5883.6,5883.6,5883.6,5883.6,5883.6,5883.6,5883.6,5883.6
Log1p,6633.8,,6617,6632.2,6632.2,6632.2,6632.2,6632.2,6633.8,6633.8,6633.8,6633.8,6633.8,6633.8,,6624.8,6624.8,6624.8,6624.8,6624.8,6624.8,6624.8,6624.8,6624.8,6624.8,6624.8,6624.8
LogicalAnd,8245.8,,7680.8,7912.2,7946,8156.8,8186.8,8205.4,8211,8227.4,8238.8,8243.8,8244.6,8245.8,,6690.4,6886.8,6888.8,6891.6,6891.6,6891.6,6891.6,6891.6,6891.6,6891.6,6891.6,6891.6
LogicalNot,5540.8,,5536.8,5536.8,5536.8,5538.8,5538.8,5538.8,5538.8,5540.8,5540.8,5540.8,5540.8,5540.8,,5519.8,5524.8,5524.8,5524.8,5524.8,5524.8,5524.8,5524.8,5524.8,5524.8,5524.8,5524.8
LogicalOr,8218.4,,7460.8,7682.2,7811.6,7938.4,7951.4,8041.8,8074.8,8163.6,8182.4,8191.8,8194.2,8218.4,,6703.2,6802.2,6803.8,6803.8,6803.8,6803.8,6803.8,6803.8,6803.8,6803.8,6803.8,6803.8
MatMul,15320.8,,9333.4,9852.6,10542.2,11380.2,12263.2,12739.4,13375.2,14549.4,14986.6,15157,15258.8,15320.8,,9199.8,9404,9506.6,9695.2,10030.2,10037.6,10151.8,10185.4,10292.2,10292.4,10322.8,10428.4
Max,9595.6,,8174.6,8378.8,8535.8,8834.4,8980.4,9111.6,9229.8,9335,9373,9427.4,9433,9595.6,,7480.8,7655,7783.6,8082.4,8226,8281.2,8310.6,8383.2,8401.6,8597.4,8640.8,8730
Mean,10097,,8149.6,8450.6,8641.6,8786.2,8950.4,9061.4,9264.4,9337.4,9558.2,9698.4,9932.2,10097,,8114.8,8534.2,8772.2,8958.6,9023,9104.4,9187.6,9419.4,9488.6,9571,9637,9750
Min,8893.6,,7950.6,8098,8296.8,8429,8455.8,8538,8550.6,8550.6,8658.4,8740.2,8809.4,8893.6,,7353.8,7506.2,7722.2,7884.4,7979.2,8065.2,8077.8,8226.2,8258.8,8404.6,8473.6,8537
Minimum,20033.6,,11614,13542.4,14620.8,15610.8,16653.4,17178.8,17908.8,18470.8,19118.8,19341,19748,20033.6,,13814,15037.4,15816.4,16426.2,16845.4,17141.4,17221.4,17434.2,17506.8,17585.4,17733.8,17811
