Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
DivNoNan,14469.6,,9356.8,10107.8,10849.4,11800.6,12292,12686,12895.8,13273.2,13432,13562.4,13785,13885.4,,10095.6,11540.4,12345.4,12631,13118.6,13384,13679.6,13860,14089.4,14224,14349.6,14469.6
Equal,21606.2,,14018,15643.6,16236.4,17152.2,17999.8,18743,19273.4,19712.6,20273,20673,21130.4,21606.2,,9393.6,10419.2,10942.4,11061.8,11385.4,11494,11658.4,12006.6,12156,12170.4,12174.6,12243.6
Exp,6616.4,,6614.8,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,6615.2,,6508,6615.2,6615.2,6615.2,6615.2,6615.2,6616.4,6616.4,6616.4,6616.4,6616.4,6616.4
Expm1,6596,,6592.2,6592.6,6592.6,6592.6,6592.6,6592.6,6592.6,6593,6593,6593,6593,6593,,6446.4,6546.2,6546.8,6546.8,6546.8,6546.8,6546.8,6546.8,6546.8,6546.8,6596,6596
Floor,6125.4,,6121.4,6121.4,6121.4,6123.4,6123.4,6125.4,6125.4,6125.4,6125.4,6125.4,6125.4,6125.4,,6104.6,6123.2,6124.4,6124.4,6124.4,6124.4,6124.4,6124.4,6124.4,6124.4,6124.4,6124.4
FloorMod,20043.2,,11045.4,13348.4,14830.8,15817.2,16960.4,17571,18467.2,18697.4,19004.6,19461.6,19747.6,20043.2,,9547,10789.2,11348.4,12166.6,12569,13112.8,13384.4,13608.2,13782.4,13870.6,14061.6,14253
GreaterEqual,19718,,11574.8,13954.8,14966,16162.2,16631.6,17170,17846.4,18223.4,18670.6,18964,19210.6,19718,,11427.2,13007.2,13513.4,14355.6,14954.6,15374.8,15877.2,16069.2,16414.4,16682.4,16885.4,16997.6
Inv,6634.2,,6632.4,6634,6634,6634,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,6634.2,,6112,6252.6,6411,6620.4,6621.8,6621.8,6621.8,6621.8,6621.8,6621.8,6621.8,6621.8
Less,20654,,12104.8,13910.6,15323.6,16117,16978.2,17467.2,18314.2,18853.4,19237.6,19493.2,20117.8,20654,,11292.8,12864.6,14123.2,14722.6,15056.6,15288.8,15555.4,15788.4,15991.8,16435.2,16658.2,16737.8
LessEqual,20695.8,,12036.6,13835,14916.4,15922.4,17171.4,17814.4,18600.8,18911.2,19620.8,19990.2,20412.8,20695.8,,9765.6,10577.8,11396.6,11909.2,12301.6,12665.6,12902.4,13394.8,13791.8,14071.6,14381.8,14815
Lgamma,5879.6,,5875.2,5875.4,5875.4,5875.4,5875.4,5875.4,5877.4,5877.4,5877.4,5877.4,5877.4,5877.4,,5877,5877.6,5877.6,5879.6,5879.6,5879.6,5879.6,5879.6,5879.6,5879.6,5879.6,5879.6
Log1p,6636.6,,6617,6632.2,6632.2,6632.2,6632.2,6632.2,6633.8,6633.8,6633.8,6633.8,6633.8,6633.8,,6456.4,6634.4,6634.4,6635,6635,6635,6635,6635,6636.6,6636.6,6636.6,6636.6
LogicalAnd,8245.8,,7680.8,7912.2,7946,8156.8,8186.8,8205.4,8211,8227.4,8238.8,8243.8,8244.6,8245.8,,7855,8146.6,8174.2,8207.4,8209.8,8211.2,8222.4,8222.4,8222.4,8223.8,8231.6,8239.4
LogicalNot,5540.8,,5536.8,5536.8,5536.8,5538.8,5538.8,5538.8,5538.8,5540.8,5540.8,5540.8,5540.8,5540.8,,5536.6,5536.6,5536.6,5536.6,5536.6,5536.6,5536.6,5536.6,5536.6,5536.6,5536.6,5536.6
LogicalOr,8249.2,,7460.8,7682.2,7811.6,7938.4,7951.4,8041.8,8074.8,8163.6,8182.4,8191.8,8194.2,8218.4,,7677.6,7942,8052.2,8169.4,8215.2,8222.2,8225.4,8226.6,8228.2,8229.4,8241,8249.2
MatMul,15320.8,,9333.4,9852.6,10542.2,11380.2,12263.2,12739.4,13375.2,14549.4,14986.6,15157,15258.8,15320.8,,10067,11139,11667.4,11974.2,12212.6,12394.2,12410.2,12453.6,12565.6,12778.8,12873.6,13080.2
Max,12779.8,,8174.6,8378.8,8535.8,8834.4,8980.4,9111.6,9229.8,9335,9373,9427.4,9433,9595.6,,8887.2,9519.6,9917,10197.2,10951.2,11305.4,11736.6,12197.2,12471,12596.4,12671,12779.8
Mean,13243.8,,8149.6,8450.6,8641.6,8786.2,8950.4,9061.4,9264.4,9337.4,9558.2,9698.4,9932.2,10097,,9007.4,10161,10946.2,11355.2,11694.6,11803.4,12004.2,12215.6,12455.2,12716.2,13125.4,13243.8
Min,12878.8,,7950.6,8098,8296.8,8429,8455.8,8538,8550.6,8550.6,8658.4,8740.2,8809.4,8893.6,,8428.4,9386.8,10013.4,10457.2,10986.8,11354.8,11757.4,12091.8,12312.6,12610.4,12742,12878.8
Minimum,20033.6,,11614,13542.4,14620.8,15610.8,16653.4,17178.8,17908.8,18470.8,19118.8,19341,19748,20033.6,,10008.6,11098.6,11555,11962.8,12353.6,12717.6,12945,13360.2,13472,13782.2,13919.6,14152.6
Mod,11741.4,,8351.2,9328.6,9833.6,10402,10675.4,10946.2,11029.2,11184.8,11408.8,11598,11630,11741.4,,8862.4,9149.2,9583.8,9914,10009.4,10164.2,10259,10441.4,10585.8,10602.6,10696.2,10824.8
MulNoNan,13909.8,,9631.6,10564.2,11351.2,11768.8,11987.6,12265.2,12728.8,12832,13297.2,13589,13848.2,13909.8,,9776,10693.8,11281.2,11696.2,12076.8,12376.2,12673.8,12809,13037.4,13138.8,13260.6,13520.4
NotEqual,20577.2,,14706.2,15636,16658.6,17046.4,17776.8,18471.8,19081.8,19671,20042,20139.4,20483.8,20577.2,,9070,9999.2,10617,10912.2,11223,11311.4,11484.2,11601.2,11742.4,11855.8,11987.4,12130.8
Pow,17773.2,,10468.4,12744.8,13855.6,14443.6,14817.6,15157.2,15940.8,16593,16772.8,17140.4,17591.2,17773.2,,10378,11727.2,12357,12870.4,13601.8,14068.8,14495.8,14711.2,14901.4,14997.2,15174,15261.4
Prod,12374.8,,8022.8,8222.6,8305.2,8520.2,8650.8,8802.2,8949.8,9174.2,9289.8,9338,9491.4,9548.2,,8572.2,9576.2,10131.2,10465.8,10875.2,11386,11685.8,11795,11909.4,11980,12268.4,12374.8
RealDiv,12828,,8871.8,9646,10170.6,10631.6,10780,11198,11661.8,11968.8,12094.4,12254.8,12672.4,12828,,9704.6,10943.4,11441.8,11866.4,12129.6,12278.2,12361.4,12456,12573.2,12633.4,12721,12816.6
Reciprocal,6632.4,,6626.2,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,6630.4,,6305.8,6524.2,6572.2,6629,6632.4,6632.4,6632.4,6632.4,6632.4,6632.4,6632.4,6632.4
Rint,5759.8,,5751.8,5751.8,5751.8,5753.8,5753.8,5753.8,5755.8,5757.8,5757.8,5759.8,5759.8,5759.8,,5751.4,5751.4,5751.4,5751.4,5751.4,5751.4,5751.4,5751.4,5751.4,5751.4,5751.4,5751.4
Round,6551.2,,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.2,6546.8,6546.8,6546.8,,6256.4,6500.2,6550,6550,6550,6550,6550,6550,6550,6550,6550,6551.2
Rsqrt,6666.6,,6653.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,6663.4,,6375.4,6661.4,6663.8,6663.8,6663.8,6666.2,6666.2,6666.2,6666.4,6666.6,6666.6,6666.6
