Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
pairwise_distance,1432,1431.4,1431.4,1431.6,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1432,,,836.8,857.4,869.4,875.6,877.2,884,886.8,892.8,904.6,906.2,910.8,912.2,,,668.4,668.4,668.4,668.4,668.4,668.4,668.4,668.4,668.4,668.4,668.4,668.4
pixel_unshuffle,692,692,692,692,692,692,692,692,692,692,692,692,692,,,264.8,265.8,266,266.8,267.6,267.6,267.6,267.6,267.6,267.6,267.6,267.6,,,156.4,156.4,156.4,156.4,156.4,156.4,156.4,156.4,156.4,156.4,156.4,156.4
poisson_nll_loss,1348.8,1342.4,1343.8,1346,1346.6,1346.6,1348.2,1348.2,1348.8,1348.8,1348.8,1348.8,1348.8,,,1104,1111.6,1122.2,1123.4,1124.4,1124.6,1124.8,1128,1128.6,1128.6,1129,1133.2,,,606.4,606.4,606.4,606.4,606.4,606.4,606.4,606.4,606.4,606.4,606.4,606.4
prelu,668,668,668,668,668,668,668,668,668,668,668,668,668,,,265.6,266.4,266.6,266.6,267.4,267.4,267.4,267.6,267.6,267.6,267.6,267.6,,,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6,247.6
relu,872,826.2,851.4,863.6,872,872,872,872,872,872,872,872,872,,,196.8,217.2,230,244.2,255.4,258.8,258.8,262,262,262,262,262,,,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2,111.2
relu6,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,,,473,492.2,495.2,499.6,504.6,504.6,504.8,505,505,505.2,505.4,505.6,,,332,332,332,332,332,332,332,332,332,332,332,332
selu,199,199,199,199,199,199,199,199,199,199,199,199,199,,,124,124,124,124,124,124,124,124,124,124,124,124,,,71.8,71.8,71.8,71.8,71.8,71.8,71.8,71.8,71.8,71.8,71.8,71.8
silu,226.8,226.6,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,,,146,146,146,146,146,146,146,146,146,146,146,146,,,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8
smooth_l1_loss,1075.4,1072.4,1073,1073.2,1073.2,1073.2,1073.2,1073.2,1074.2,1074.2,1074.2,1074.4,1075.4,,,738.6,738.8,738.8,740,750,751.4,761.2,761.4,761.4,947.4,947.4,947.4,,,610.6,610.6,610.6,610.6,610.6,610.6,610.6,610.6,610.6,610.6,610.6,610.6
soft_margin_loss,1213.8,1197.6,1198.4,1198.4,1201.4,1201.4,1204.4,1207.4,1207.4,1207.4,1207.4,1210.8,1213.8,,,1031.8,1034.2,1038.6,1040.2,1044.6,1045.6,1046,1046,1046.2,1047.6,1047.6,1047.6,,,686.6,686.6,686.6,686.6,686.6,686.6,686.6,686.6,686.6,686.6,686.6,686.6
softmax,655.2,654.8,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,,,130.2,131,131,141.2,141.2,141.2,141.2,151.4,151.4,151.4,151.4,151.4,,,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8,159.8
softplus,180,180,180,180,180,180,180,180,180,180,180,180,180,,,102,102,102,102,102,102,102,102,102,102,102,102,,,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8,61.8
