Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
softmin,681.4,,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,,,508.4,510.2,519,525.2,530.8,532.4,533.8,538.8,538.8,538.8,539.8,544.2
softplus,180,,180,180,180,180,180,180,180,180,180,180,180,180,,,144.8,147.4,147.4,162.4,162.4,162.4,162.4,162.4,162.4,162.4,162.4,162.4
softshrink,196.8,,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,,,178.6,181.6,196.6,196.6,196.6,196.6,196.6,196.6,196.6,196.6,196.6,196.6
softsign,983.8,,983.4,983.4,983.8,983.8,983.8,983.8,983.8,983.8,983.8,983.8,983.8,983.8,,,806.2,817,818.6,822.2,825,825,877.6,877.6,877.6,877.8,877.8,877.8
tanhshrink,727.4,,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,,,614.4,617.8,618,618,631.8,639.2,639.2,639.6,639.6,646,646,646
threshold,485.6,,485.2,485.4,485.4,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,,,334.2,334.8,334.8,335.4,335.4,342.6,343.2,343.2,343.2,347,349.2,349.2
triplet_margin_loss,1610.6,,1598,1604.4,1606.2,1606.4,1608,1609,1609,1609.4,1609.4,1609.4,1609.4,1610.6,,,1052,1098.6,1121.6,1154.6,1168,1180.8,1190.4,1193.6,1200.4,1202.4,1203.4,1203.4
triplet_margin_with_distance_loss,1331.2,,1327,1327.2,1328.6,1329.8,1330.8,1330.8,1330.8,1331,1331,1331,1331.2,1331.2,,,954.8,989.4,1015,1032.4,1038.4,1048.4,1050.6,1070.4,1083.4,1083.4,1090.6,1096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,,LPF-STAGED,,,,,,,,,,,
API,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
adaptive_avg_pool1d,,,99.89558862,99.93474289,99.93474289,99.96084573,99.97389715,99.97389715,99.98694858,100,100,100,100,100,,,85.18663534,93.52649439,95.52336205,95.58861916,95.67997912,95.88880188,95.91490472,95.91490472,95.92795615,95.92795615,96.37170452,96.37170452
adaptive_avg_pool2d,,,99.92350061,99.93880049,99.93880049,99.93880049,99.93880049,99.93880049,99.93880049,99.95410037,99.95410037,99.98470012,99.98470012,100,,,43.75764994,49.84700122,53.90146879,56.77784578,59.96022032,64.61138311,73.57711138,75.26009792,80.53855569,83.79742962,88.87698898,89.99388005
adaptive_avg_pool3d,,,99.78013925,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,100,,,20.7157689,28.59411262,41.18724808,43.97215097,57.43251496,61.89080249,62.74581654,65.21314279,65.99486992,69.09734946,71.29595701,72.16318554
adaptive_max_pool1d,,,100,100,100,100,100,100,100,100,100,100,100,100,,,62.44318182,78.86363636,88.29545455,88.69318182,94.88636364,96.30681818,97.61363636,97.61363636,97.61363636,97.78409091,97.78409091,97.78409091
adaptive_max_pool2d,,,100,100,100,100,100,100,100,100,100,100,100,100,,,44.23529412,45.17647059,45.29411765,76.47058824,86.35294118,86.35294118,87.17647059,87.41176471,87.64705882,87.64705882,87.64705882,98.70588235
adaptive_max_pool3d,,,100,100,100,100,100,100,100,100,100,100,100,100,,,33.78598588,40.14122759,53.557849,54.69853341,55.35035307,55.89353612,55.94785443,59.69581749,64.9103748,72.1890277,72.24334601,76.80608365
alpha_dropout,,,99.88407141,100,100,100,100,100,100,100,100,100,100,100,,,79.27196847,80.19939717,80.66311152,81.15001159,82.30929747,84.46556921,84.69742639,85.30025504,85.30025504,85.30025504,85.30025504,85.3698122
avg_pool1d,,,99.9364945,100,100,100,100,100,100,100,100,100,100,100,,,32.64182896,33.86960203,33.86960203,33.86960203,33.86960203,33.86960203,33.86960203,33.86960203,40.38950042,40.45300593,40.45300593,40.45300593
avg_pool2d,,,95.13624377,96.71842953,97.04072663,97.36302373,97.86111925,98.09551714,99.73630237,99.76560211,99.76560211,99.76560211,100,100,,,28.09844711,28.09844711,28.12774685,28.12774685,28.12774685,28.12774685,28.12774685,34.39789042,34.39789042,34.39789042,34.39789042,34.39789042
avg_pool3d,,,86.52980877,93.3352081,95.05061867,95.9223847,96.8503937,96.96287964,97.32845894,97.35658043,97.35658043,97.38470191,98.05961755,100,,,6.327334083,6.327334083,12.45781777,15.63554556,22.91901012,26.46231721,27.81214848,28.00899888,30.06186727,30.06186727,32.17097863,32.19910011
batch_norm,,,89.93067019,92.83591945,97.22680753,98.08517663,98.91053153,99.43875867,99.63684384,99.93397161,99.93397161,99.93397161,99.9669858,100,,,69.06569825,69.13172664,71.24463519,73.85275669,76.72499175,79.36612743,82.50247606,86.00198085,87.45460548,91.41630901,94.02443051,94.8827996
bilinear,,,94.58955224,96.90298507,98.33022388,99.40298507,99.74813433,99.83208955,99.87873134,99.94402985,99.99067164,100,100,100,,,77.36007463,80.98880597,82.22947761,83.44216418,84.05783582,85.15858209,86.0261194,86.33395522,86.66977612,86.69776119,86.99626866,87.06156716
binary_cross_entropy,,,66.43338517,66.6407465,66.6407465,79.70451011,79.70451011,79.70451011,79.70451011,99.97407983,99.97407983,99.97407983,99.97407983,100,,,30.81907724,30.84499741,30.94867807,30.94867807,30.94867807,33.59253499,38.15448419,38.18040435,43.41627786,45.25660964,45.25660964,45.28252981
binary_cross_entropy_with_logits,,,99.38860722,99.74649568,99.82105577,99.82105577,99.82105577,100,100,100,100,100,100,100,,,55.2341187,60.02087683,68.3566955,70.20578586,70.75753057,74.00835073,75.11184014,76.11094542,76.55830599,77.24425887,77.34864301,77.34864301
celu,,,100,100,100,100,100,100,100,100,100,100,100,100,,,64.62311558,67.83919598,75.37688442,75.37688442,75.37688442,75.37688442,75.37688442,75.37688442,79.29648241,81.20603015,81.20603015,81.20603015
conv1d,,,80.05638458,91.27011131,96.5197103,97.60365528,98.24041219,98.72648617,98.86744763,99.4750401,99.5722549,99.63058377,99.94167112,100,,,44.25703592,51.22247606,55.50478783,57.83794293,58.84897681,59.49545521,59.82598551,60.03013659,60.13707286,60.43843873,60.99256307,61.10436008
conv2d,,,78.80030885,89.75484992,94.14149213,96.35652929,97.68844706,98.21928385,98.67773381,98.83698485,99.05897114,99.49329215,99.77318792,100,,,33.05665476,41.27979925,45.89325355,47.99247177,49.05897114,49.29060901,50.22681208,52.26329505,52.62040344,52.69761606,53.44561336,54.87404691
