Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
pairwise_distance,1432.2,,1431.4,1431.4,1431.6,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1431.8,1432,,1430.8,1432,1432,1432,1432.2,1432.2,1432.2,1432.2,1432.2,1432.2,1432.2,1432.2
pixel_unshuffle,692,,692,692,692,692,692,692,692,692,692,692,692,692,,692,692,692,692,692,692,692,692,692,692,692,692
poisson_nll_loss,1350,,1342.4,1343.8,1346,1346.6,1346.6,1348.2,1348.2,1348.8,1348.8,1348.8,1348.8,1348.8,,1347.4,1349.2,1349.2,1349.2,1349.2,1349.4,1349.4,1349.4,1350,1350,1350,1350
prelu,668,,668,668,668,668,668,668,668,668,668,668,668,668,,668,668,668,668,668,668,668,668,668,668,668,668
relu,872.2,,826.2,851.4,863.6,872,872,872,872,872,872,872,872,872,,821.6,838.6,855.4,855.4,863.8,863.8,863.8,863.8,863.8,863.8,863.8,872.2
relu6,860.6,,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,860.2,,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6,860.6
rrelu,811,,811,811,811,811,811,811,811,811,811,811,811,811,,805.4,805.4,805.4,805.4,805.4,805.4,805.4,805.4,805.4,805.4,805.4,805.4
selu,199,,199,199,199,199,199,199,199,199,199,199,199,199,,199,199,199,199,199,199,199,199,199,199,199,199
silu,226.8,,226.6,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,226.8,,226.4,226.6,226.6,226.6,226.6,226.6,226.6,226.6,226.6,226.6,226.6,226.6
smooth_l1_loss,1075.4,,1072.4,1073,1073.2,1073.2,1073.2,1073.2,1073.2,1074.2,1074.2,1074.2,1074.4,1075.4,,1070.2,1071.4,1072.4,1072.6,1072.6,1072.6,1072.6,1072.8,1072.8,1072.8,1072.8,1073.8
soft_margin_loss,1213.8,,1197.6,1198.4,1198.4,1201.4,1201.4,1204.4,1207.4,1207.4,1207.4,1207.4,1210.8,1213.8,,1188.4,1189,1192,1195,1195.2,1201.2,1201.2,1201.2,1204.2,1204.2,1204.2,1204.2
softmax,655.2,,654.8,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,,654.8,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2,655.2
softmin,681.4,,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,681.4,,679.4,680.6,680.8,680.8,680.8,680.8,680.8,680.8,680.8,680.8,680.8,680.8
softplus,180,,180,180,180,180,180,180,180,180,180,180,180,180,,180,180,180,180,180,180,180,180,180,180,180,180
softshrink,196.8,,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,196.8,,196.2,196.4,196.4,196.4,196.4,196.4,196.4,196.4,196.4,196.4,196.4,196.4
softsign,984,,983.4,983.4,983.8,983.8,983.8,983.8,983.8,983.8,983.8,983.8,983.8,983.8,,984,984,984,984,984,984,984,984,984,984,984,984
tanhshrink,727.4,,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4,727.4
threshold,485.6,,485.2,485.4,485.4,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6,485.6
triplet_margin_loss,1610.6,,1598,1604.4,1606.2,1606.4,1608,1609,1609,1609.4,1609.4,1609.4,1609.4,1610.6,,1593.6,1598.2,1600.2,1601.2,1605,1605.2,1607.2,1607.2,1607.2,1607.4,1607.4,1609.6
triplet_margin_with_distance_loss,1333,,1327,1327.2,1328.6,1329.8,1330.8,1330.8,1330.8,1331,1331,1331,1331.2,1331.2,,1326.6,1327.8,1329.2,1330.4,1331.4,1331.8,1332,1333,1333,1333,1333,1333
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Relative Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,LPF-NDP,,,,,,,,,,,
API,,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600
adaptive_avg_pool1d,,,99.85649054,99.89562948,99.89562948,99.92172211,99.93476843,99.93476843,99.94781474,99.96086106,99.96086106,99.96086106,99.96086106,99.96086106,,99.84344423,99.88258317,99.9086758,99.92172211,99.93476843,99.94781474,99.96086106,99.97390737,100,100,100,100
adaptive_avg_pool2d,,,99.92350061,99.93880049,99.93880049,99.93880049,99.93880049,99.93880049,99.93880049,99.95410037,99.95410037,99.98470012,99.98470012,100,,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073,99.90820073
adaptive_avg_pool3d,,,99.7679531,99.97557401,99.97557401,99.97557401,99.97557401,99.97557401,99.97557401,99.97557401,99.97557401,99.97557401,99.97557401,99.98778701,,99.7801661,100,100,100,100,100,100,100,100,100,100,100
adaptive_max_pool1d,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
adaptive_max_pool2d,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
adaptive_max_pool3d,,,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,99.8373102,,100,100,100,100,100,100,100,100,100,100,100,100
alpha_dropout,,,99.88407141,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
avg_pool1d,,,99.9364945,100,100,100,100,100,100,100,100,100,100,100,,99.53429297,100,100,100,100,100,100,100,100,100,100,100
avg_pool2d,,,93.92536882,95.48741684,95.8056118,96.12380677,96.61556263,96.84697715,98.4668788,98.49580561,98.49580561,98.49580561,98.72722013,98.72722013,,93.78073474,95.45849002,96.49985537,96.7601967,97.91726931,97.94619612,98.32224472,99.27682962,99.59502459,99.82643911,99.82643911,100
avg_pool3d,,,80.65530799,86.99868938,88.59764089,89.4102228,90.27522936,90.38007864,90.72083879,90.74705111,90.74705111,90.77326343,91.40235911,93.21100917,,69.59370904,86.68414155,89.672346,93.86631717,96.35648755,97.06422018,97.40498034,97.40498034,99.52817824,99.52817824,99.97378768,100
batch_norm,,,89.87132959,92.77466183,97.16265259,98.0204553,98.84526559,99.37314418,99.57109865,99.86803035,99.86803035,99.86803035,99.90102276,99.93401518,,87.72682283,91.19102606,93.40151765,95.87594853,97.85549324,97.85549324,99.17518971,99.47212141,99.93401518,99.93401518,99.93401518,100
bilinear,,,94.58955224,96.90298507,98.33022388,99.40298507,99.74813433,99.83208955,99.87873134,99.94402985,99.99067164,100,100,100,,93.28358209,97.45335821,98.43283582,99.01119403,99.50559701,99.64552239,99.81343284,99.90671642,99.95335821,99.97201493,99.99067164,99.99067164
binary_cross_entropy,,,58.71706758,58.90034364,58.90034364,70.4467354,70.4467354,70.4467354,70.4467354,88.36197022,88.36197022,88.36197022,88.36197022,88.38487973,,70.17182131,76.0137457,76.08247423,94.38717068,94.38717068,94.41008018,94.84536082,94.93699885,95.80756014,95.80756014,100,100
binary_cross_entropy_with_logits,,,99.1225461,99.4794765,99.553837,99.553837,99.553837,99.7323022,99.7323022,99.7323022,99.7323022,99.7323022,99.7323022,99.7323022,,99.1374182,99.6579417,99.7620464,99.8958953,99.9702558,99.9702558,99.9702558,100,100,100,100,100
celu,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
conv1d,,,79.88940629,91.07974389,96.31839348,97.40007761,98.0355064,98.52056655,98.66123399,99.26755918,99.36457121,99.42277842,99.73321692,99.79142414,,73.94256888,86.5104773,93.62630966,96.19227784,97.59895227,98.05005821,99.18024835,99.54889406,99.81567714,99.93694218,99.97574699,100
conv2d,,,78.80030885,89.75484992,94.14149213,96.35652929,97.68844706,98.21928385,98.67773381,98.83698485,99.05897114,99.49329215,99.77318792,100,,75.55737863,89.45082521,93.81333848,96.13936879,97.72705337,97.96834282,98.18550333,98.73081749,98.85146221,98.96245536,99.02036483,99.2520027
conv3d,,,65.36059057,75.15834535,82.41820644,86.92176648,90.52985629,92.94980999,94.37382606,96.4661687,97.52762853,98.30515878,99.56318525,100,,55.20027956,69.52780326,76.11060149,80.46564452,85.13956231,87.43720788,89.90084305,92.98912331,94.23841349,95.29550518,95.66242956,97.09081379
conv_transpose1d,,,84.92483413,88.83849836,92.00470312,93.48282523,93.71798102,93.92794155,95.01133787,95.98555472,96.1367263,96.1367263,96.1367263,96.16192156,,87.42756362,93.01251365,93.79356681,95.82598471,95.96875787,97.46367683,98.41269841,98.45469052,98.55547157,98.55547157,98.61426052,100
conv_transpose2d,,,82.14799154,91.23044397,93.07399577,94.31712474,97.05708245,98.03805497,98.35940803,98.48625793,98.53699789,98.55391121,98.57928118,100,,84.46511628,88.68498943,91.62790698,92.64270613,92.93868922,94.30866808,94.82452431,95.5602537,95.5602537,95.83086681,95.85623679,95.93234672
cosine_similarity,,,99.8853962,99.8853962,99.91814014,99.93451212,99.95088409,99.95088409,99.95088409,99.96725606,99.96725606,99.96725606,99.96725606,99.96725606,,99.86902423,99.93451212,99.96725606,99.98362803,99.98362803,99.98362803,100,100,100,100,100,100
cross_entropy,,,83.81253594,86.88901668,91.41268929,92.75445658,93.76078206,95.06421315,95.37090282,95.65842438,97.02894384,98.00651716,99.71247844,100,,83.79336784,87.10944988,89.91757715,91.20184014,93.17615488,93.84703853,95.21755798,95.62967223,96.38681234,96.95227142,97.39313782,98.38029519
ctc_loss,,,99.53954496,99.62080173,99.75622969,99.86457205,99.91874323,99.97291441,100,100,100,100,100,100,,99.56663055,99.7291441,99.83748646,99.89165764,99.91874323,99.91874323,99.97291441,100,100,100,100,100
